Make,Model,Body Type,Year,Engine Type,Engine Size,Transmission,Drive Type,Mileage,Condition,Steering Wheel,Cleared Customs,Color,Wheel Size,Headlights,Interior Color,Interior Material,Sunroof,Car Price
Honda,Accord,Sedan,2019,Gasoline,1.5 L,Automatic,All Wheel Drive,"70,000 miles",Car is not damaged,Left,Yes,Black,R19,LED Headlights,Black,Leather,No,"$25,500"
Nissan,Murano,SUV / Crossover,2007,Gasoline,3.5 L,Automatic,All Wheel Drive,"170,000 km",Car is not damaged,Left,Yes,Black,R18,Хenon Headlights,Beige,Leather,Regular Sunroof,"$6,700"
Nissan,Tiida,Sedan,2006,Gasoline,1.5 L,Automatic,Front Wheel Drive,"170,000 km",Car is not damaged,Right,Yes,White,R15,LED Headlights,Brown,Textile,No,"$5,600"
Ford,Fusion (North America),Sedan,2017,Gasoline,2.5 L,Automatic,Front Wheel Drive,"86,000 miles",Car is not damaged,Left,Yes,Black,R17,LED Headlights,Black,Textile,No,"$14,500"
Toyota,Camry,Sedan,2020,Gasoline,2.5 L,Automatic,Front Wheel Drive,"34,000 km",Car is not damaged,Left,Yes,White,R18,LED Headlights,Black,Leather,No,"$33,400"
Mazda,CX-5,SUV / Crossover,2018,Gasoline,2.5 L,Automatic,Front Wheel Drive,"120,280 km",Car is not damaged,Left,Yes,Silver,R19,Хenon Headlights,Black,Alcantara,No,"$21,000"
Toyota,Camry,Sedan,2020,Gasoline,2.5 L,Automatic,Front Wheel Drive,"28,800 miles",Car is not damaged,Left,Yes,Black,R18,LED Headlights,Black,Leather,No,"$26,300"
Jeep,Compass,SUV / Crossover,2017,Gasoline,2.4 L,Automatic,All Wheel Drive,"57,000 miles",Car is not damaged,Left,Yes,White,R18,LED Headlights,Black,Leather,No,"$17,800"
Volkswagen,ID.4,SUV / Crossover,2021,Electric,,Automatic,All Wheel Drive,"50,000 km",Car is not damaged,Left,Yes,Gray,R20,LED Headlights,Gray,Textile,Panoramic Sunroof,"$27,400"
Mazda,CX-9,SUV / Crossover,2019,Gasoline,2.5 L,Automatic,All Wheel Drive,"52,584 km",Car is not damaged,Left,Yes,Blue,R20,LED Headlights,Black,Leather,Regular Sunroof,"$31,000"
Toyota,Camry,Sedan,2019,Gasoline,2.5 L,Automatic,Front Wheel Drive,"76,200 km",Car is not damaged,Left,Yes,Black,R18,LED Headlights,Black,Leather,Regular Sunroof,"$30,000"
Mercedes-Benz,B-Class,Hatchback,2006,Gasoline,2.0 L,Automatic,Front Wheel Drive,"160,000 km",Car is not damaged,Left,Yes,Silver,R16,LED Headlights,Beige,Leather,Regular Sunroof,"$6,300"
Volkswagen,Jetta,Sedan,2019,Gasoline,1.4 L,Automatic,Front Wheel Drive,"57,000 miles",Car is not damaged,Left,Yes,Gray,R16,LED Headlights,Gray,Textile,No,"$16,000"
Hyundai,Sonata,Sedan,2011,Hybrid,2.4 L,Automatic,Front Wheel Drive,"145,000 km",Car is not damaged,Left,Yes,Black,R17,LED Headlights,Gray,Leather,Panoramic Sunroof,"$12,500"
Mercedes-Benz,E-Class,Sedan,1997,Gasoline,3.2 L,Automatic,Rear Wheel Drive,"272,000 km",Car is not damaged,Left,Yes,Black,R18,LED Headlights,Black,Leather,Regular Sunroof,"$13,500"
Opel,Zafira,Minivan,2001,Gasoline,1.8 L,Manual,Front Wheel Drive,"195,000 km",Car is not damaged,Left,Yes,Silver,R15,Хenon Headlights,Black,Textile,No,"$8,500"
VAZ (Lada),2110,Sedan,2006,Gasoline,2.0 L,Manual,Front Wheel Drive,"150,000 km",Car is not damaged,Left,Yes,Green,R13,Halogen Headlights,Gray,Textile,No,"$3,000"
Subaru,XV,SUV / Crossover,2018,Gasoline,2.0 L,Automatic,All Wheel Drive,"47,570 km",Car is not damaged,Left,Yes,Blue,R18,Halogen Headlights,Gray,Textile,No,"$21,000"
Nissan,Rogue,SUV / Crossover,2017,Gasoline,2.5 L,Automatic,All Wheel Drive,"121,000 miles",Car is not damaged,Left,Yes,Black,R17,LED Headlights,Black,Textile,No,"$14,700"
Ford,Fusion (North America),Sedan,2014,Gasoline,2.5 L,Automatic,Front Wheel Drive,"140,000 km",Car is not damaged,Left,Yes,Gray,R17,Halogen Headlights,Black,Textile,No,"$13,500"
Lexus,GX,SUV / Crossover,2017,Gasoline,4.6 L,Automatic,All Wheel Drive,"52,000 miles",Car is not damaged,Left,Yes,Blue,R18,LED Headlights,Black,Leather,Regular Sunroof,"$52,000"
Toyota,C-HR,SUV / Crossover,2019,Gasoline,2.0 L,Automatic,Front Wheel Drive,"47,500 km",Car is not damaged,Left,Yes,Black,R18,Хenon Headlights,Black,Textile,No,"$18,500"
Mercedes-Benz,S-Class,Sedan,2007,Gasoline,5.0 L,Automatic,Rear Wheel Drive,"198,000 km",Car is not damaged,Left,Yes,Black,R19,LED Headlights,Black,Leather,Panoramic Sunroof,"$17,000"
Mercedes-Benz,GLS-Class,SUV / Crossover,2017,Gasoline,3.0 L,Automatic,All Wheel Drive,"58,000 miles",Car is not damaged,Left,Yes,Black,R20,LED Headlights,Black,Leather,Regular Sunroof,"$49,000"
Mercedes-Benz,GLS-Class,SUV / Crossover,2017,Gasoline,3.0 L,Automatic,All Wheel Drive,"53,000 miles",Car is not damaged,Left,Yes,Black,R20,LED Headlights,Black,Leather,Panoramic Sunroof,"$52,000"
Hyundai,Elantra,Sedan,2012,Gasoline,1.8 L,Automatic,Front Wheel Drive,"220,000 km",Car is not damaged,Left,Yes,Black,R15,LED Headlights,Black,Other,No,"$10,200"
GAZ (ГАЗ),31029 Volga,Sedan,1996,Gasoline,2.3 L,Manual,Rear Wheel Drive,"118,000 km",Car is not damaged,Left,Yes,Black,R15,Halogen Headlights,Beige,Velour,No,"$2,600"
BMW,5 Series,Sedan,2008,Gasoline,2.8 L,Automatic,All Wheel Drive,"240,000 km",Car is not damaged,Left,Yes,Blue,R17,Хenon Headlights,Beige,Leather,Regular Sunroof,"4,000,000 ֏"
Tesla,Model S,Liftback,2018,Electric,,Automatic,All Wheel Drive,"57,000 miles",Car is not damaged,Left,Yes,Black,R19,LED Headlights,Black,Leather,Panoramic Sunroof,"$36,500"
Mercedes-Benz,E-Class,Sedan,1998,Gasoline,3.2 L,Automatic,Rear Wheel Drive,"205,000 km",Car is not damaged,Left,Yes,Blue,R16,Хenon Headlights,Black,Leather,Regular Sunroof,"$5,900"
Nissan,Xterra,SUV / Crossover,2002,Gasoline,3.3 L,Automatic,All Wheel Drive,"86,000 km",Car is not damaged,Left,Yes,Red,R17,Хenon Headlights,Black,Leather,Regular Sunroof,"$15,000"
Nissan,Teana,Sedan,2006,Gasoline,2.3 L,Automatic,Front Wheel Drive,"171,000 km",Car is not damaged,Left,Yes,White,R16,LED Headlights,Beige,Leather,No,"$7,200"
VAZ (Lada),2107,Sedan,2002,Gasoline,1.5 L,Manual,Rear Wheel Drive,"38,494 km",Car is not damaged,Left,Yes,White,R13,Halogen Headlights,Black,Textile,No,"950,000 ֏"
Mazda,6,Sedan,2014,Gasoline,2.5 L,Automatic,Front Wheel Drive,"160,000 km",Car is not damaged,Left,Yes,White,R17,LED Headlights,Black,Other,No,"$13,500"
BMW,X5,SUV / Crossover,2002,Gasoline,3.0 L,Automatic,All Wheel Drive,"241,000 miles",Car is not damaged,Left,Yes,Black,R18,LED Headlights,Black,Other,Regular Sunroof,"$7,300"
Subaru,Legacy,Sedan,2002,Gasoline,3.0 L,Automatic,All Wheel Drive,"200,000 km",Car is not damaged,Right,Yes,Silver,R16,Хenon Headlights,Black,Leather,No,"$5,500"
Opel,Movano,Van,2011,Diesel,2.3 L,Manual,Front Wheel Drive,"260,000 km",Car is not damaged,Left,Yes,White,R16,LED Headlights,Beige,Textile,No,"$13,800"
Infiniti,QX30,SUV / Crossover,2017,Gasoline,2.0 L,Automatic,All Wheel Drive,"44,000 km",Car is not damaged,Left,Yes,Gray,R18,LED Headlights,Black,Leather,Panoramic Sunroof,"$18,500"
Toyota,Highlander,SUV / Crossover,2019,Gasoline,3.5 L,Automatic,Front Wheel Drive,"66,705 miles",Car is damaged,Left,Yes,Black,R18,Halogen Headlights,Black,Leather,Regular Sunroof,"$43,000"
Ford,Focus,Hatchback,2016,Gasoline,2.0 L,Automatic,Front Wheel Drive,"95,000 miles",Car is not damaged,Left,Yes,Brown,R18,Хenon Headlights,White,Leather,Regular Sunroof,"$11,500"
Ford,Escape,SUV / Crossover,2014,Gasoline,2.0 L,Automatic,All Wheel Drive,"200,000 km",Car is not damaged,Left,Yes,Silver,R16,LED Headlights,Beige,Textile,No,"$12,000"
Hyundai,Elantra,Sedan,2018,Gasoline,2.0 L,Automatic,Front Wheel Drive,"33,000 miles",Car is not damaged,Left,Yes,Blue,R16,Halogen Headlights,Gray,Textile,Regular Sunroof,"$14,500"
Hyundai,Elantra,Sedan,2012,Gasoline,1.8 L,Automatic,Front Wheel Drive,"110,000 miles",Car is not damaged,Left,Yes,Gray,R17,LED Headlights,Gray,Leather,Regular Sunroof,"$12,000"
Nissan,X-Trail,SUV / Crossover,2008,Gasoline,2.0 L,Automatic,Front Wheel Drive,"128,000 km",Car is not damaged,Left,Yes,Black,R18,LED Headlights,Black,Leather,No,"$12,500"
VAZ (Lada),2110,Sedan,2000,Gasoline,1.6 L,Manual,Front Wheel Drive,"400,000 km",Car is not damaged,Left,Yes,White,R14,LED Headlights,Gray,Other,No,"$3,200"
Nissan,Teana,Sedan,2006,Gasoline,2.3 L,Automatic,Front Wheel Drive,"150,000 km",Car is not damaged,Left,Yes,Blue,R17,LED Headlights,Beige,Velour,No,"$6,500"
Porsche,Cayenne,SUV / Crossover,2007,Gasoline,4.8 L,Automatic,All Wheel Drive,"98,000 km",Car is not damaged,Left,Yes,Black,R21,Хenon Headlights,Other,Leather,Regular Sunroof,"$15,000"
Kia,Optima,Sedan,2017,Gasoline,2.4 L,Automatic,Front Wheel Drive,"90,000 miles",Car is not damaged,Left,Yes,Gray,R17,LED Headlights,Black,Other,No,"$14,800"
Nissan,X-Trail,SUV / Crossover,2006,Gasoline,2.0 L,Automatic,All Wheel Drive,"140,000 km",Car is not damaged,Left,Yes,Black,R18,Хenon Headlights,Black,Textile,No,"$7,500"
Honda,Elysion,Minivan,2005,Gasoline,2.4 L,Automatic,Front Wheel Drive,"100,000 km",Car is not damaged,Left,Yes,White,R16,LED Headlights,Beige,Velour,No,"$9,800"
VAZ (Lada),2121 (4x4),SUV / Crossover,2018,Gasoline,1.7 L,Manual,All Wheel Drive,"30,000 km",Car is not damaged,Left,Yes,White,R18,Хenon Headlights,Black,Other,No,"$10,000"
UAZ (УАЗ),452,Van,1988,Gasoline,2.7 L,Manual,All Wheel Drive,"50,000 km",Car is not damaged,Left,Yes,Green,R15,Halogen Headlights,Other,Other,No,"850,000 ֏"
Nissan,Rogue,SUV / Crossover,2018,Gasoline,2.5 L,Automatic,All Wheel Drive,"85,000 km",Car is not damaged,Left,Yes,Black,R17,LED Headlights,Other,Other,No,"$19,500"
Chevrolet,Malibu,Sedan,2016,Gasoline,1.5 L,Automatic,Front Wheel Drive,"200,000 km",Car is not damaged,Left,Yes,Blue,R16,LED Headlights,Brown,Leather,No,"$10,800"
VAZ (Lada),2110,Sedan,2000,Gasoline,1.5 L,Manual,Front Wheel Drive,"360,000 km",Car is not damaged,Left,Yes,Brown,R14,LED Headlights,Gray,Textile,No,"1,200,000 ֏"
Opel,Astra,Wagon,1998,Gasoline,1.6 L,Manual,Front Wheel Drive,"300,000 km",Car is not damaged,Left,Yes,Silver,R15,LED Headlights,Black,Textile,No,"$4,000"
Mazda,CX-5,SUV / Crossover,2022,Gasoline,2.5 L,Automatic,All Wheel Drive,"18,000 km",Car is not damaged,Left,Yes,Blue,R17,LED Headlights,Black,Leather,Regular Sunroof,"$35,000"
Nissan,Rogue,SUV / Crossover,2019,Gasoline,2.0 L,Automatic,Front Wheel Drive,"21,000 miles",Car is not damaged,Left,Yes,White,R17,Halogen Headlights,Black,Textile,No,"$18,000"
Kia,Sportage,SUV / Crossover,2016,Gasoline,2.4 L,Automatic,All Wheel Drive,"44,800 miles",Car is not damaged,Left,Yes,White,R17,LED Headlights,Black,Textile,No,"$18,500"
VAZ (Lada),2106,Sedan,1995,Gasoline,1.5 L,Manual,Rear Wheel Drive,"59,000 km",Car is not damaged,Left,Yes,Blue,R13,Halogen Headlights,Black,Textile,No,"$2,200"
Mercedes-Benz,E-Class,Sedan,2008,Gasoline,3.5 L,Automatic,Rear Wheel Drive,"159,000 miles",Car is not damaged,Left,Yes,Black,R18,LED Headlights,Black,Leather,Regular Sunroof,"$11,400"
Hyundai,Tucson,SUV / Crossover,2019,Gasoline,2.0 L,Automatic,Front Wheel Drive,"26,000 km",Car is not damaged,Left,Yes,White,R17,Halogen Headlights,White,Textile,No,"$25,000"
Nissan,Rogue,SUV / Crossover,2010,Gasoline,2.5 L,Automatic,Front Wheel Drive,"95,000 miles",Car is not damaged,Left,Yes,Silver,R17,Halogen Headlights,Black,Textile,No,"$10,000"
BMW,X5,SUV / Crossover,2002,Gasoline,3.0 L,Automatic,All Wheel Drive,"348,214 km",Car is not damaged,Left,Yes,Black,R19,Хenon Headlights,Black,Leather,Regular Sunroof,"$8,500"
Infiniti,G35,Coupe,2004,Gasoline,3.5 L,Automatic,Rear Wheel Drive,"80,000 miles",Car is not damaged,Left,Yes,White,R18,Хenon Headlights,Black,Leather,Regular Sunroof,"$7,000"
Nissan,X-Trail,SUV / Crossover,2008,Gasoline,2.0 L,Automatic,All Wheel Drive,"128,000 km",Car is not damaged,Left,Yes,Black,R18,LED Headlights,Black,Leather,No,"$12,500"
Opel,Astra,Sedan,1999,Gasoline,1.6 L,Manual,Front Wheel Drive,"275,000 km",Car is not damaged,Left,Yes,Silver,R15,Хenon Headlights,Gray,Textile,No,"$3,200"
Mazda,6,Sedan,2008,Gasoline,2.5 L,Automatic,Front Wheel Drive,"197,000 miles",Car is not damaged,Left,Yes,White,R16,Хenon Headlights,Black,Other,No,"$8,500"
BMW,X5,SUV / Crossover,2019,Gasoline,3.0 L,Automatic,Rear Wheel Drive,"81,000 km",Car is not damaged,Left,Yes,Black,R20,LED Headlights,Black,Leather,Panoramic Sunroof,"$80,000"
BMW,5 Series,Sedan,2015,Gasoline,3.0 L,Automatic,All Wheel Drive,"110,000 km",Car is not damaged,Left,Yes,Black,R19,Хenon Headlights,Black,Leather,Regular Sunroof,"$23,000"
Lexus,GX,SUV / Crossover,2004,Gasoline,4.7 L,Automatic,All Wheel Drive,"170,000 miles",Car is not damaged,Left,Yes,Silver,R17,Halogen Headlights,Gray,Leather,Regular Sunroof,"$21,300"
Mercedes-Benz,E-Class,Sedan,2013,Gasoline,3.5 L,Automatic,Rear Wheel Drive,"164,000 km",Car is not damaged,Left,Yes,Black,R19,Хenon Headlights,Black,Leather,Regular Sunroof,"$24,000"
Kia,Optima,Sedan,2016,Gasoline,2.4 L,Automatic,Front Wheel Drive,"103,000 miles",Car is not damaged,Left,Yes,White,R17,LED Headlights,Black,Leather,Panoramic Sunroof,"$16,000"
Mercedes-Benz,E-Class AMG,Sedan,2008,Gasoline,3.0 L,Automatic,Rear Wheel Drive,"151,000 km",Car is not damaged,Left,Yes,Black,R18,LED Headlights,Black,Leather,Regular Sunroof,"$13,800"
Mercedes-Benz,ML,SUV / Crossover,2000,Gasoline,3.2 L,Automatic,All Wheel Drive,"400,000 km",Car is not damaged,Left,Yes,Silver,R16,LED Headlights,Gray,Velour,No,"$5,500"
BMW,5 Series,Sedan,2016,Gasoline,2.0 L,Automatic,Rear Wheel Drive,"70,000 km",Car is not damaged,Left,Yes,White,R20,Хenon Headlights,Black,Leather,Regular Sunroof,"$23,500"
Mercedes-Benz,E-Class,Sedan,2010,Gasoline,3.5 L,Automatic,All Wheel Drive,"115,000 miles",Car is not damaged,Left,Yes,Black,R18,Хenon Headlights,Black,Leather,Regular Sunroof,"$20,000"
Opel,Astra,Hatchback,2000,Gasoline,1.8 L,Manual,Front Wheel Drive,"290,000 km",Car is damaged,Left,Yes,Silver,R15,Halogen Headlights,Black,Textile,No,"$4,000"
VAZ (Lada),2110,Sedan,2006,Gasoline,1.6 L,Manual,Front Wheel Drive,"186,000 km",Car is not damaged,Left,Yes,Black,R14,LED Headlights,Gray,Alcantara,No,"1,000,000 ֏"
VAZ (Lada),2121 (4x4),SUV / Crossover,2001,Gasoline,1.6 L,Manual,All Wheel Drive,"130,000 km",Car is not damaged,Left,Yes,Black,R15,Halogen Headlights,Black,Other,No,"1,400,000 ֏"
Hyundai,Elantra,Sedan,2016,Gasoline,2.0 L,Automatic,Front Wheel Drive,"103,872 km",Car is not damaged,Left,Yes,Black,R16,Хenon Headlights,Beige,Textile,No,"$14,200"
Mercedes-Benz,GLS-Class,SUV / Crossover,2017,Gasoline,4.0 L,Automatic,All Wheel Drive,"80,000 km",Car is not damaged,Left,Yes,Black,R19,LED Headlights,Beige,Leather,No,"$41,700"
Nissan,Rogue,SUV / Crossover,2018,Gasoline,2.0 L,Automatic,Front Wheel Drive,"82,000 miles",Car is not damaged,Left,Yes,Gray,R18,Хenon Headlights,Black,Textile,No,"$17,800"
Toyota,Camry,Sedan,2019,Gasoline,2.5 L,Automatic,Front Wheel Drive,"80,000 km",Car is not damaged,Left,Yes,White,R19,LED Headlights,Gray,Textile,No,"$25,000"
BMW,3 Series,Sedan,2007,Gasoline,3.0 L,Automatic,Rear Wheel Drive,"230,000 km",Car is not damaged,Left,Yes,Blue,R16,Halogen Headlights,Black,Leather,No,"$8,500"
Opel,Vectra,Sedan,2002,Gasoline,2.2 L,Automatic,Front Wheel Drive,"200,000 km",Car is not damaged,Left,Yes,Silver,R17,Хenon Headlights,Black,Leather,Regular Sunroof,"$6,500"
Lexus,ES,Sedan,2022,Gasoline,3.5 L,Automatic,Front Wheel Drive,"25,000 km",Car is not damaged,Left,Yes,Black,R18,LED Headlights,Black,Leather,Regular Sunroof,"$54,000"
Porsche,Panamera,Wagon,2010,Gasoline,3.6 L,Automatic,All Wheel Drive,"50,000 km",Car is not damaged,Left,Yes,White,R18,LED Headlights,White,Other,Regular Sunroof,"$36,000"
Mercedes-Benz,CLS-Class,Sedan,2006,Gasoline,5.0 L,Automatic,Rear Wheel Drive,"200,000 km",Car is not damaged,Left,Yes,Black,R18,Хenon Headlights,Beige,Leather,Regular Sunroof,"$11,900"
Kia,Optima,Sedan,2020,Gasoline,2.4 L,Automatic,Front Wheel Drive,"25,000 miles",Car is not damaged,Left,Yes,Black,R16,Halogen Headlights,Black,Textile,No,"$17,900"
Toyota,Camry,Sedan,2020,Gasoline,2.5 L,Automatic,Front Wheel Drive,"32,700 miles",Car is not damaged,Left,Yes,Black,R18,LED Headlights,Other,Leather,Regular Sunroof,"$30,500"
Hyundai,Elantra,Sedan,2011,Gasoline,1.8 L,Automatic,Front Wheel Drive,"180,000 miles",Car is not damaged,Left,Yes,Black,R17,LED Headlights,Black,Leather,Regular Sunroof,"$8,200"
Chevrolet,Volt,Sedan,2011,Hybrid,1.4 L,Automatic,Front Wheel Drive,"305,000 km",Car is not damaged,Left,Yes,White,R17,Хenon Headlights,White,Leather,No,"$8,250"
Mercedes-Benz,E-Class,Sedan,2013,Gasoline,2.0 L,Automatic,Rear Wheel Drive,"210,000 km",Car is not damaged,Left,Yes,Black,R18,LED Headlights,Black,Alcantara,No,"$20,000"
Ford,Fusion (North America),Sedan,2018,Gasoline,2.5 L,Automatic,Front Wheel Drive,"78,000 miles",Car is not damaged,Left,Yes,Silver,R17,Halogen Headlights,Beige,Textile,No,"$15,500"
Infiniti,G37,Sedan,2009,Gasoline,3.7 L,Automatic,All Wheel Drive,"235,000 km",Car is not damaged,Left,Yes,Red,R17,Хenon Headlights,Black,Leather,Regular Sunroof,"$11,500"
Lexus,RX,SUV / Crossover,2022,Gasoline,3.5 L,Automatic,Front Wheel Drive,"35,000 km",Car is not damaged,Left,Yes,Gray,R19,LED Headlights,Beige,Leather,Regular Sunroof,"$57,500"
Mercedes-Benz,190 (W201),Sedan,1991,Gasoline,2.3 L,Manual,Rear Wheel Drive,"300,000 km",Car is not damaged,Left,Yes,Black,R15,Halogen Headlights,Black,Textile,Regular Sunroof,NaN
Dodge,Challenger,Coupe,2021,Gasoline,5.7 L,Automatic,Rear Wheel Drive,"24,814 miles",Car is not damaged,Left,Yes,Silver,R20,Хenon Headlights,Black,Alcantara,Regular Sunroof,"$40,000"
BMW,3 Series,Sedan,2002,Gasoline,1.6 L,Manual,Rear Wheel Drive,"180,000 km",Car is not damaged,Left,Yes,Silver,R15,Halogen Headlights,Black,Textile,No,"$6,300"
VAZ (Lada),Priora,Sedan,2009,Gasoline,1.6 L,Manual,Front Wheel Drive,"198,000 km",Car is not damaged,Left,Yes,Silver,R14,LED Headlights,Other,Textile,No,"$5,500"
Toyota,Camry,Sedan,2018,Gasoline,2.5 L,Automatic,Front Wheel Drive,"90,000 km",Car is not damaged,Left,Yes,White,R19,Halogen Headlights,Black,Leather,No,"$26,000"
Opel,Astra,Wagon,2005,Gasoline,1.6 L,Manual,Front Wheel Drive,"178,000 km",Car is not damaged,Left,Yes,White,R15,Halogen Headlights,Black,Textile,No,"$5,800"
BMW,3 Series,Sedan,2016,Gasoline,2.0 L,Automatic,Rear Wheel Drive,"150,000 km",Car is not damaged,Left,Yes,Black,R17,Halogen Headlights,Beige,Leather,Panoramic Sunroof,"$16,500"
Mercedes-Benz,S-Class AMG,Sedan,2005,Gasoline,5.5 L,Automatic,Rear Wheel Drive,"120,000 km",Car is not damaged,Left,Yes,Black,R20,Хenon Headlights,Black,Leather,Regular Sunroof,"$18,000"
Toyota,Camry,Sedan,2010,Gasoline,2.5 L,Automatic,Front Wheel Drive,"140,000 miles",Car is not damaged,Left,Yes,Blue,R17,LED Headlights,Blue,Other,Regular Sunroof,"$10,800"
Mercedes-Benz,CLK-Class,Coupe,2000,Gasoline,3.2 L,Automatic,Rear Wheel Drive,"150,000 km",Car is not damaged,Left,Yes,White,R17,LED Headlights,Black,Leather,Regular Sunroof,"$7,500"
Opel,Astra,Hatchback,1999,Gasoline,1.8 L,Manual,Front Wheel Drive,"230,000 km",Car is not damaged,Left,Yes,Maroon,R15,Хenon Headlights,Black,Other,No,"$3,500"
VAZ (Lada),Niva Legend,SUV / Crossover,2022,Gasoline,1.7 L,Manual,All Wheel Drive,"12,000 km",Car is not damaged,Left,Yes,Black,R20,Хenon Headlights,Black,Textile,No,"$11,200"
Kia,Forte,Sedan,2019,Gasoline,2.0 L,Automatic,Front Wheel Drive,"68,000 miles",Car is not damaged,Left,Yes,Gray,R16,Halogen Headlights,Black,Textile,No,"$16,500"
Mercedes-Benz,GL-Class,SUV / Crossover,2015,Gasoline,4.0 L,Automatic,All Wheel Drive,"220,000 km",Car is not damaged,Left,Yes,Gray,R22,Хenon Headlights,Black,Leather,Panoramic Sunroof,"$26,000"
Mercedes-Benz,C-Class,Sedan,2016,Gasoline,2.0 L,Automatic,Rear Wheel Drive,"54,000 miles",,Left,Yes,White,,,,,,"$27,500"
Infiniti,QX56,SUV / Crossover,2006,Gasoline,5.6 L,Automatic,All Wheel Drive,"250,000 km",Car is not damaged,Left,Yes,Gray,R19,Halogen Headlights,Black,Leather,Regular Sunroof,"$11,000"
Citroen,C-Zero,Hatchback,2012,Electric,,Automatic,Rear Wheel Drive,"66,000 km",Car is not damaged,Left,No,White,R16,Halogen Headlights,Gray,Other,No,"$10,000"
Kia,Optima,Sedan,2018,Gasoline,2.4 L,Automatic,Front Wheel Drive,"50,000 km",Car is not damaged,Left,Yes,White,R17,Halogen Headlights,Black,Textile,No,NaN
Nissan,Versa,Sedan,2019,Gasoline,1.6 L,Automatic,Front Wheel Drive,"51,000 km",Car is not damaged,Left,Yes,Black,R15,Halogen Headlights,Gray,Textile,No,"$10,300"
Opel,Vectra,Sedan,1999,Gasoline,1.8 L,Manual,Front Wheel Drive,"205,600 km",Car is not damaged,Left,Yes,Maroon,R15,Halogen Headlights,Black,Textile,No,"950,000 ֏"
UAZ (УАЗ),31519,SUV / Crossover,2004,Gasoline,2.9 L,Manual,All Wheel Drive,"10,235 km",Car is not damaged,Left,Yes,Silver,R15,Halogen Headlights,Black,Leather,No,"2,150,000 ֏"
Volkswagen,ID.6,SUV / Crossover,2023,Electric,,Automatic,Rear Wheel Drive,200 km,Car is not damaged,Left,Yes,Blue,R21,LED Headlights,Other,Leather,Panoramic Sunroof,"$40,000"
Lexus,LS,Sedan,2007,Gasoline,4.6 L,Automatic,Rear Wheel Drive,"188,000 km",Car is not damaged,Left,Yes,Black,R18,Хenon Headlights,Beige,Leather,Regular Sunroof,"$9,000"
Chevrolet,Malibu,Sedan,2016,Gasoline,1.5 L,Automatic,Front Wheel Drive,"97,000 km",Car is not damaged,Left,Yes,Gray,R17,Halogen Headlights,Black,Textile,No,"$12,000"
Jaguar,F-Pace,SUV / Crossover,2017,Gasoline,2.0 L,Automatic,All Wheel Drive,"57,000 miles",Car is not damaged,Left,Yes,White,R20,Хenon Headlights,Black,Leather,Panoramic Sunroof,"$40,000"
Mercedes-Benz,C-Class,Sedan,1999,Gasoline,2.0 L,Manual,Rear Wheel Drive,"260,000 km",Car is damaged,Left,Yes,Maroon,R15,Halogen Headlights,Black,Textile,No,"$3,900"
Mazda,CX-9,SUV / Crossover,2017,Gasoline,2.5 L,Automatic,Front Wheel Drive,"55,000 miles",Car is not damaged,Left,Yes,Green,R17,Halogen Headlights,Black,Leather,No,"$25,500"
Opel,Vectra,Hatchback,2005,Gasoline,2.2 L,Automatic,Front Wheel Drive,"234,393 km",Car is not damaged,Left,Yes,Gray,R16,Halogen Headlights,Black,Leather,No,"$5,000"
VAZ (Lada),2121 Niva,SUV / Crossover,2021,Gasoline,1.7 L,Manual,All Wheel Drive,400 km,Car is not damaged,Left,Yes,Black,R16,Хenon Headlights,Black,Textile,No,"$12,800"
Toyota,Camry,Sedan,2018,Gasoline,2.5 L,Automatic,Front Wheel Drive,"76,000 km",Car is not damaged,Left,Yes,Black,R17,LED Headlights,Black,Textile,No,"$23,000"
Mercedes-Benz,E-Class,Sedan,2004,Gasoline,3.2 L,Automatic,Rear Wheel Drive,"30,000 km",Car is not damaged,Left,No,White,R17,Halogen Headlights,Gray,Leather,Regular Sunroof,"$6,300"
Mercedes-Benz,240,Sedan,1999,Gasoline,2.4 L,Automatic,Rear Wheel Drive,"300,000 km",Car is not damaged,Left,Yes,Blue,R16,LED Headlights,Black,Other,Regular Sunroof,"$4,500"
Lexus,NX,SUV / Crossover,2018,Gasoline,2.0 L,Automatic,All Wheel Drive,"60,000 miles",Car is not damaged,Left,Yes,White,R18,LED Headlights,Brown,Leather,Regular Sunroof,"$41,000"
Nissan,X-Trail,SUV / Crossover,2005,Gasoline,2.0 L,Automatic,All Wheel Drive,"212,000 km",Car is not damaged,Left,Yes,Black,R16,Хenon Headlights,Other,Leather,No,"$7,000"
Mercedes-Benz,GLB-Class,SUV / Crossover,2021,Gasoline,2.0 L,Automatic,All Wheel Drive,"20,000 miles",Car is not damaged,Left,Yes,Black,R19,Хenon Headlights,Black,Alcantara,Panoramic Sunroof,"$56,000"
Mercedes-Benz,Sprinter,Van,2001,Diesel,2.1 L,Manual,All Wheel Drive,"350,000 km",Car is not damaged,Left,Yes,White,R15,Хenon Headlights,Gray,Textile,No,"6,000,000 ֏"
Ford,Mustang,Coupe,2019,Gasoline,2.3 L,Automatic,Rear Wheel Drive,"20,000 miles",Car is damaged,Left,Yes,Blue,R18,Хenon Headlights,Black,Velour,No,"$28,500"
Mazda,6,Sedan,2018,Gasoline,2.5 L,Automatic,Front Wheel Drive,"50,000 km",Car is not damaged,Left,Yes,Red,R19,LED Headlights,Brown,Leather,Regular Sunroof,"10,500,000 ֏"
