Make,Model,Body Type,Year,Engine Type,Engine Size,Transmission,Drive Type,Mileage,Condition,Steering Wheel,Cleared Customs,Color,Wheel Size,Headlights,Interior Color,Interior Material,Sunroof,Car Price
Hyundai,Elantra,Sedan,2019,Gasoline,2.0 L,Automatic,Front Wheel Drive,"41,000 miles",Car is damaged,Left,Yes,Gray,R17,Halogen Headlights,Black,Textile,No,"$13,500"
Nissan,X-Trail,SUV / Crossover,2001,Gasoline,2.0 L,Automatic,All Wheel Drive,"235,000 km",,Left,Yes,Black,R16,Хenon Headlights,Gray,Leather,No,"$2,300"
Toyota,Camry,Sedan,2014,Gasoline,2.5 L,Automatic,Front Wheel Drive,"142,300 miles",Car is not damaged,Left,Yes,White,R18,Хenon Headlights,Black,Leather,Panoramic Sunroof,"$15,400"
Opel,Zafira,Minivan,2002,Gasoline,1.6 L,Manual,Front Wheel Drive,"215,000 km",Car is not damaged,Left,Yes,Gray,R15,LED Headlights,Black,Textile,No,"$6,500"
Toyota,Camry,Sedan,2008,Hybrid,2.4 L,Automatic,Front Wheel Drive,"220,000 miles",Car is not damaged,Left,No,Black,R16,LED Headlights,Gray,Velour,No,"$6,500"
Volkswagen,Jetta,Sedan,2007,Gasoline,2.5 L,Automatic,Front Wheel Drive,"250,000 km",Car is not damaged,Left,Yes,White,R16,LED Headlights,Black,Leather,Regular Sunroof,"1,150,000 ֏"
Subaru,Outback,Wagon,2004,Gasoline,2.5 L,Automatic,All Wheel Drive,"240,000 km",,Right,Yes,Black,R17,Хenon Headlights,Beige,Leather,No,"$7,500"
Hyundai,Elantra,Sedan,2011,Gasoline,1.8 L,Automatic,Front Wheel Drive,"199,000 km",Car is not damaged,Left,Yes,Black,R16,LED Headlights,Black,Textile,No,"$9,900"
Toyota,Camry,Sedan,2018,Gasoline,2.5 L,Automatic,Front Wheel Drive,"146,000 km",Car is not damaged,Left,Yes,Black,R18,LED Headlights,Black,Leather,No,"$19,500"
Honda,Accord,Sedan,2021,Gasoline,1.5 L,Automatic,Front Wheel Drive,6000 miles,Car is not damaged,Left,Yes,White,R17,LED Headlights,Gray,Textile,No,"$23,500"
Infiniti,G35,SUV / Crossover,2010,Gasoline,3.5 L,Automatic,All Wheel Drive,"91,184 miles",Car is not damaged,Left,Yes,Brown,R17,Хenon Headlights,Brown,Leather,Regular Sunroof,"$13,500"
Toyota,RAV4,SUV / Crossover,2019,Gasoline,2.5 L,Automatic,Front Wheel Drive,"76,000 km",Car is not damaged,Left,Yes,Silver,R18,LED Headlights,Black,Other,No,"$30,500"
Hyundai,Elantra,Sedan,2020,Gasoline,2.0 L,Automatic,Front Wheel Drive,"24,000 miles",Car is not damaged,Left,Yes,Black,R16,LED Headlights,Beige,Other,Regular Sunroof,"$19,000"
Volkswagen,Jetta,Sedan,2009,Gasoline,2.5 L,Automatic,Front Wheel Drive,"132,000 km",Car is not damaged,Left,Yes,Red,R16,Halogen Headlights,Black,Textile,No,"$8,000"
VAZ (Lada),2103,Sedan,1975,Gasoline,1.5 L,Manual,Rear Wheel Drive,5000 km,Car is damaged,Left,Yes,White,R13,Halogen Headlights,Gray,Leather,No,"380,000 ֏"
Mercedes-Benz,G-Class,SUV / Crossover,2009,Gasoline,5.0 L,Automatic,All Wheel Drive,"157,000 km",Car is not damaged,Left,Yes,Black,R20,Хenon Headlights,Other,Leather,Regular Sunroof,"$49,500"
Hyundai,Sonata,Sedan,2017,Gasoline,2.4 L,Automatic,Front Wheel Drive,"64,000 km",Car is not damaged,Left,Yes,Cyan,R16,LED Headlights,Beige,Textile,No,"$13,100"
Honda,Accord,Sedan,2013,Gasoline,2.4 L,Automatic,Front Wheel Drive,"120,000 km",Car is not damaged,Left,Yes,Black,R18,LED Headlights,Black,Textile,No,"$13,000"
Toyota,Land Cruiser Prado,SUV / Crossover,2012,Gasoline,4.0 L,Automatic,All Wheel Drive,"127,000 km",Car is not damaged,Left,Yes,Black,R18,Хenon Headlights,Black,Leather,Panoramic Sunroof,"$42,000"
Nissan,Teana,Sedan,2006,Gasoline,2.3 L,Automatic,Front Wheel Drive,"140,000 km",Car is not damaged,Right,Yes,Silver,R16,Halogen Headlights,Other,Velour,No,"$7,200"
Toyota,Camry,Sedan,2008,Gasoline,2.4 L,Automatic,Front Wheel Drive,"200,000 km",Car is not damaged,Left,Yes,Black,R16,Хenon Headlights,Beige,Textile,No,"$9,500"
Tesla,Model X,SUV / Crossover,2019,Electric,,Automatic,All Wheel Drive,"113,000 km",Car is not damaged,Left,Yes,White,R20,LED Headlights,Black,Leather,Panoramic Sunroof,"$63,000"
UAZ (УАЗ),31512,Wagon,1989,Gasoline,2.9 L,Manual,All Wheel Drive,"100,000 km",Car is not damaged,Left,Yes,Beige,R15,LED Headlights,Black,Other,No,"900,000 ֏"
Lexus,ES,Sedan,2019,Hybrid,2.5 L,Automatic,Front Wheel Drive,"41,000 km",Car is not damaged,Left,Yes,White,R18,LED Headlights,Black,Leather,Regular Sunroof,"$56,000"
Mercedes-Benz,C-Class,Sedan,2002,Gasoline,2.4 L,Automatic,Rear Wheel Drive,"290,000 km",Car is not damaged,Left,Yes,Gray,R16,Halogen Headlights,Gray,Leather,Regular Sunroof,"$6,100"
Mercedes-Benz,GLE,SUV / Crossover,2021,Gasoline,3.5 L,Automatic,All Wheel Drive,"39,900 km",Car is not damaged,Left,Yes,Black,R21,LED Headlights,Black,Leather,Panoramic Sunroof,"$99,900"
VAZ (Lada),2107,Sedan,2007,Gasoline,1.6 L,Manual,Rear Wheel Drive,"155,000 km",Car is not damaged,Left,No,Blue,R13,LED Headlights,Black,Other,No,"$2,800"
Nissan,Rogue,SUV / Crossover,2019,Gasoline,2.5 L,Automatic,All Wheel Drive,"83,000 miles",Car is not damaged,Left,Yes,Gray,R17,Halogen Headlights,Black,Textile,No,"$18,500"
Toyota,C-HR,SUV / Crossover,2018,Gasoline,2.0 L,Automatic,Front Wheel Drive,"58,000 miles",Car is not damaged,Left,Yes,White,R18,LED Headlights,Black,Textile,No,"$18,400"
